GridSize;seed;l;alpha;lambda;beta;type;SNorm;SNormTapered;SNormSeparTapered
20;63;1;1;6;1;rectangular;7.016653903;7.662913566;9.041681453
20;64;1;1;6;1;rectangular;12.5505462;6.447703936;7.532927358
20;65;1;1;6;1;rectangular;11.79431531;6.764045705;7.313227924
20;66;1;1;6;1;rectangular;8.181995835;8.100279946;9.372582529
20;67;1;1;6;1;rectangular;8.273128232;7.368485225;8.421956568
20;68;1;1;6;1;rectangular;7.051940188;7.773843727;8.916172215
20;69;1;1;6;1;rectangular;8.361949293;7.31199503;8.524163813
20;70;1;1;6;1;rectangular;9.477251086;8.326295771;9.511236316
20;71;1;1;6;1;rectangular;9.350570767;8.175367663;9.316768916
20;72;1;1;6;1;rectangular;6.704906798;7.605440875;8.639081969
20;73;1;1;6;1;rectangular;9.124394889;7.422453451;8.35070074
20;74;1;1;6;1;rectangular;12.13827357;7.096288446;8.184915828
20;75;1;1;6;1;rectangular;8.642713183;7.721978992;8.916415018
20;76;1;1;6;1;rectangular;7.617244221;8.428672243;9.552322407
20;77;1;1;6;1;rectangular;8.358699858;6.950530923;7.935139543
20;78;1;1;6;1;rectangular;9.542955761;7.106131927;7.90290666
20;79;1;1;6;1;rectangular;16.19208355;6.609544605;7.574594944
20;80;1;1;6;1;rectangular;8.694090271;8.242207591;9.204423097
20;81;1;1;6;1;rectangular;7.643854849;8.142864412;9.338892049
20;82;1;1;6;1;rectangular;9.413648297;7.569570874;8.72683347
20;83;1;1;6;1;rectangular;5.400032329;7.054124404;7.96583321
20;84;1;1;6;1;rectangular;7.029687207;7.691800677;8.903632378
20;85;1;1;6;1;rectangular;13.49977029;6.895406998;7.969038457
20;86;1;1;6;1;rectangular;7.21503363;8.286213126;9.695085443
20;87;1;1;6;1;rectangular;9.400280636;6.89474515;8.019401885
20;88;1;1;6;1;rectangular;15.80478412;6.839952776;7.852922019
20;89;1;1;6;1;rectangular;11.78923891;6.210602798;7.012602945
20;90;1;1;6;1;rectangular;6.758995282;7.462046509;8.64469243
20;91;1;1;6;1;rectangular;17.45598497;6.614860264;7.703862161
